date,Adj Close,Volume,Adj Close_s&p500,Volume_s&p500,SMA_20,SMA_50,RSI,MACD,Signal_Line,P_mean,P_sum,twt_count,NFLX_Returns,SP500_Returns,Relative_Performance
2020-03-02,381.05,6997900,3090.23,6381330000,374.342,351.343,55.685,7.337,9.303,-0.1034,-24,232,1,0.0460392252438883,-0.013467347618763
2020-03-03,368.77,8364600,3003.3701,6376510000,374.88,352.302,47.475,6.369,8.716,-0.0978,-40,409,0,-0.0281079078256311,-0.0041188340717577
2020-03-04,383.79,5487300,3130.1201,5073020000,375.619,353.334,51.781,6.736,8.32,-0.1896,-62,327,1,0.0422025910160055,-0.0014725967106117
2020-03-05,372.78,8747000,3023.9399,5579290000,375.774,354.051,46.277,6.069,7.87,-0.115,-52,452,0,-0.0339220849704777,0.0052345214591824
2020-03-06,368.97,8147200,2972.3701,6555240000,375.876,354.769,45.18,5.173,7.33,-0.1575,-60,381,0,-0.0170538442248802,0.0068333388329602
2020-03-09,346.49,7405500,2746.5601,8441290000,374.862,355.034,34.555,2.618,6.388,-0.1804,-70,388,0,-0.0759696782039356,0.0150433156270323
2020-03-10,364.13,7604400,2882.23,7642040000,374.514,355.664,42.633,1.995,5.509,-0.1003,-39,389,1,0.0493962975723705,0.0015142626169566
2020-03-11,349.92,6036000,2741.3799,7431200000,373.326,356.081,38.983,0.35,4.477,-0.1273,-48,377,0,-0.0488684456132925,0.0098439214049054
2020-03-12,315.25,12071600,2480.6399,8850810000,370.088,355.92,33.162,-3.709,2.84,-0.1957,-92,470,0,-0.0951126839443157,-0.0039671057218937
2020-03-13,336.3,9458200,2711.02,8299070000,367.833,356.174,41.987,-5.167,1.239,-0.1547,-54,349,1,0.0928712385864629,-0.0260988357315858
2020-03-16,298.84,10559900,2386.1299,7805450000,363.755,355.555,36.743,-9.239,-0.857,-0.144,-55,382,0,-0.1198405397230563,0.0084518986287951
2020-03-17,319.75,10013900,2529.1899,8370250000,360.354,355.432,37.221,-10.656,-2.817,-0.1689,-64,379,1,0.0599548247561878,0.0100157280479884
2020-03-18,315.47,12593600,2398.1001,8799300000,356.818,355.025,37.748,-11.986,-4.651,-0.1579,-66,418,0,-0.0518307462796683,0.0384452888910835
2020-03-19,332.03,10616000,2409.3899,7956100000,354.119,355.05,42.399,-11.571,-6.035,-0.1392,-54,388,1,0.004707810153546,0.0477852953715434
2020-03-20,332.83,10853800,2304.9199,9053950000,351.757,354.922,39.616,-11.049,-7.038,-0.147,-46,313,1,-0.0433595243343554,0.0457689451698222
