date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pe_ratio,pb_ratio,roe,fcf,NFLX_Returns
2020-10-30,475.74,7807900,515.127,506.774,26.622,-5.799,-0.675,1.74,287.374,10.001,0.037,1153950000.0,0
2020-11-02,484.12,4408200,513.301,506.61,23.32,-6.539,-1.848,1.74,287.374,10.177,0.037,1153950000.0,1
2020-11-03,487.22,3690200,512.369,506.578,27.7,-6.797,-2.838,1.74,287.374,10.242,0.037,1153950000.0,1
2020-11-04,496.95,5137300,510.483,506.706,32.806,-6.145,-3.499,1.74,287.374,10.447,0.037,1153950000.0,1
2020-11-05,513.76,5372800,509.582,506.03,43.761,-4.224,-3.644,1.74,287.374,10.8,0.037,1153950000.0,1
2020-11-06,514.73,4236300,508.346,505.799,44.181,-2.592,-3.434,1.74,287.374,10.82,0.037,1153950000.0,1
2020-11-09,470.5,10419700,504.88,504.732,34.426,-4.813,-3.71,1.74,287.374,9.891,0.037,1153950000.0,0
2020-11-10,480.24,8306100,501.188,503.745,47.057,-5.722,-4.112,1.74,287.374,10.095,0.037,1153950000.0,1
2020-11-11,490.76,5460500,498.654,502.429,51.768,-5.529,-4.395,1.74,287.374,10.317,0.037,1153950000.0,1
2020-11-12,486.77,5063700,495.895,501.108,49.52,-5.633,-4.643,1.74,287.374,10.233,0.037,1153950000.0,0
2020-11-13,482.84,3002700,493.498,500.25,48.325,-5.964,-4.907,1.74,287.374,10.15,0.037,1153950000.0,0
2020-11-16,479.1,3953600,490.916,499.511,47.008,-6.454,-5.216,1.74,287.374,10.071,0.037,1153950000.0,0
2020-11-17,480.63,3698100,488.677,498.983,48.28,-6.642,-5.501,1.74,287.374,10.104,0.037,1153950000.0,1
2020-11-18,481.79,3629200,488.314,498.615,42.338,-6.621,-5.725,1.74,287.374,10.128,0.037,1153950000.0,1
2020-11-19,484.67,2254700,488.286,498.695,53.699,-6.299,-5.84,1.74,287.374,10.189,0.037,1153950000.0,1
2020-11-20,488.24,4253400,488.284,498.819,51.777,-5.691,-5.81,1.74,287.374,10.264,0.037,1153950000.0,1
2020-11-23,476.62,5416600,487.703,498.826,45.74,-6.076,-5.863,1.74,287.374,10.019,0.037,1153950000.0,0
2020-11-24,482.88,3550500,487.4,498.564,44.184,-5.809,-5.853,1.74,287.374,10.151,0.037,1153950000.0,1
