date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count
2021-09-03,590.53,2681200,544.201,533.926,93.082,16.402,11.049,2.97,12.413916333823838,177.84848484848484,0.0624343073365566,-174039000.0,-0.0493,-20,406
2021-09-07,606.71,5821400,548.538,535.519,94.138,18.592,12.557,2.97,12.754046668068112,177.84848484848484,0.0624343073365566,-174039000.0,0.0668,51,764
2021-09-08,606.05,5424500,553.048,536.979,93.32,20.043,14.054,2.97,12.740172377548877,177.84848484848484,0.0624343073365566,-174039000.0,-0.0246,-14,569
2021-09-09,597.54,2954200,557.306,538.26,82.107,20.273,15.298,2.97,12.561278116459953,177.84848484848484,0.0624343073365566,-174039000.0,-0.1132,-43,380
2021-09-10,598.72,3950800,561.706,539.67,81.672,20.316,16.302,2.97,12.586083666176162,177.84848484848484,0.0624343073365566,-174039000.0,-0.0471,-20,425
2021-09-13,589.29,3062900,565.374,540.785,71.198,19.366,16.914,2.97,12.387849484969518,177.84848484848484,0.0624343073365566,-174039000.0,-0.061,-23,377
2021-09-14,577.76,3457000,568.366,541.661,62.647,17.481,17.028,2.97,12.145469833928946,177.84848484848484,0.0624343073365566,-174039000.0,-0.1067,-32,300
2021-09-15,582.87,2755600,571.564,542.486,68.467,16.213,16.865,2.97,12.252890477191508,177.84848484848484,0.0624343073365566,-174039000.0,-0.0067,-2,297
2021-09-16,586.5,1832000,574.796,543.496,68.822,15.324,16.556,2.97,12.3291990750473,177.84848484848484,0.0624343073365566,-174039000.0,-0.0194,-5,258
2021-09-17,589.35,4145100,577.078,544.668,66.777,14.68,16.181,2.97,12.389110784107633,177.84848484848484,0.0624343073365566,-174039000.0,-0.0279,-8,287
2021-09-20,575.43,3732200,578.505,545.457,54.751,12.898,15.525,2.97,12.096489384065586,177.84848484848484,0.0624343073365566,-174039000.0,-0.0657,-23,350
2021-09-21,573.14,2250900,579.496,546.174,52.044,11.172,14.654,2.97,12.048349800294302,177.84848484848484,0.0624343073365566,-174039000.0,-0.062,-16,258
2021-09-22,590.65,4021800,581.358,547.173,54.237,11.09,13.941,2.97,12.416438932100062,177.84848484848484,0.0624343073365566,-174039000.0,0.041,20,488
2021-09-23,593.26,2526200,583.642,548.079,52.418,11.107,13.374,2.97,12.471305444607946,177.84848484848484,0.0624343073365566,-174039000.0,0.0434,18,415
2021-09-24,592.39,2126200,585.755,549.068,50.966,10.924,12.884,2.97,12.45301660710532,177.84848484848484,0.0624343073365566,-174039000.0,-0.0329,-8,243
2021-09-27,592.64,2504700,587.441,550.315,41.245,10.676,12.443,2.97,12.458272020180786,177.84848484848484,0.0624343073365566,-174039000.0,0.014,5,357
2021-09-28,583.85,4431100,588.324,551.346,37.455,9.66,11.886,2.97,12.27349169644734,177.84848484848484,0.0624343073365566,-174039000.0,-0.04,-17,425
2021-09-29,599.06,6221000,589.818,552.706,50.798,9.966,11.502,2.97,12.593231027958796,177.84848484848484,0.0624343073365566,-174039000.0,-0.0079,-6,758
2021-09-30,610.34,6612600,591.232,554.641,55.519,10.993,11.4,3.19,12.830355265923902,191.32915360501568,0.0670590708429682,-84948000.0,0.0196,14,713
2021-10-01,613.15,4090800,592.462,556.668,62.092,11.896,11.499,3.19,12.889426108892158,191.32915360501568,0.0670590708429682,-84948000.0,-0.0533,-26,488
2021-10-04,603.35,4995900,593.103,558.427,63.2,11.686,11.537,3.19,12.683413916333825,191.32915360501568,0.0670590708429682,-84948000.0,-0.0795,-41,516
